dP,m,n,esc,pfil,ps,A,Cs,t,V,lm,km0,gx,meio
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,900,3.64E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,1200,4.15E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,1500,4.59E-05,6.35E-03,1.48E-11,0.2,50
1.20E+06,0.62,0.34,0.515,1.05E+03,2808,2.29E-03,1.33E-04,1800,4.97E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,60,1.49E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,300,2.86E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,600,3.85E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,900,4.55E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,1200,5.13E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,1500,5.64E-05,6.35E-03,1.48E-11,0.2,50
1.40E+06,0.63,0.34,0.551,1.04E+03,2808,2.29E-03,1.33E-04,1800,6.11E-05,6.35E-03,1.48E-11,0.2,50
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,60,6.00E-06,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,300,9.20E-06,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,600,1.19E-05,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,900,1.36E-05,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,1200,1.54E-05,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,1500,1.68E-05,6.35E-03,1.48E-11,0.2,120
2.00E+05,0.90,0.29,0.481,1.02E+03,2808,2.29E-03,1.33E-04,1800,1.83E-05,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,60,5.20E-06,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,300,8.50E-06,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,600,1.15E-05,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,900,1.43E-05,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,1200,1.66E-05,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,1500,1.82E-05,6.35E-03,1.48E-11,0.2,120
4.00E+05,0.85,0.29,0.512,1.07E+03,2808,2.29E-03,1.33E-04,1800,1.97E-05,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,60,4.33E-06,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,300,8.27E-06,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,600,1.16E-05,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,900,1.41E-05,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,1200,1.63E-05,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,1500,1.82E-05,6.35E-03,1.48E-11,0.2,120
6.00E+05,0.80,0.30,0.515,1.03E+03,2808,2.29E-03,1.33E-04,1800,1.98E-05,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,60,4.80E-06,6.35E-03,1.48E-11,0.2,120
8.00E+05,0.85,0.30,0.546,1.05E+03,2808,2.29E-03,1.33E-04,300,9.07E-06,6.35E-03,1.48E-11,0.2,120
